===== Final Summary =====
Algorithm,Parameters,Pass_line,Result,Generation,time(ms)
GA,MR=0.3,1e-10,1.67e-06,100,52.104
DE,"MF=0.9, CR=1.0",1e-10,3.47e-10,100,150.175
PSO,"IW=0.3, PC=2.5",1e-10,7.86e-08,100,53.282
===== Convergence History =====
Generation,GA_Cost,DE_Cost,PSO_Cost
1,15.415864322149918,14.510565442517368,11.026876239151015
2,15.415864322149918,9.352385938736118,2.8731148270613964
3,15.415864322149918,9.352385938736118,2.8731148270613964
4,12.59675561995218,9.352385938736118,2.8731148270613964
5,11.329955067670715,2.8733359879351283,2.8731148270613964
6,8.360261082703513,2.8733359879351283,2.8731148270613964
7,6.799411970187377,0.4713835741855128,2.8731148270613964
8,3.353688000876744,0.4713835741855128,2.8731148270613964
9,3.353688000876744,0.4713835741855128,2.8731148270613964
10,2.6477914250850283,0.4713835741855128,2.6844162051328553
11,2.6477914250850283,0.4713835741855128,2.0431110867230124
12,2.2421337323226282,0.4713835741855128,2.0431110867230124
13,2.119828833939682,0.4713835741855128,2.0431110867230124
14,1.3151842808101186,0.4713835741855128,2.0431110867230124
15,0.09510956849121754,0.4713835741855128,2.0431110867230124
16,0.09510956849121754,0.4713835741855128,2.0431110867230124
17,0.038054250740611195,0.4713835741855128,2.0431110867230124
18,0.008861483167695638,0.4713835741855128,2.0431110867230124
19,0.008861483167695638,0.4713835741855128,2.0431110867230124
20,0.008861483167695638,0.2245091939742636,2.0004513445493437
21,0.008861483167695638,0.2245091939742636,1.2998160047970693
22,0.006701720266512723,0.2245091939742636,0.7645234432499386
23,0.001670947724026206,0.2245091939742636,0.596243583568949
24,0.0004856276769622525,0.2245091939742636,0.5878556331931009
25,0.0002165958274389368,0.2245091939742636,0.4976659767715397
26,3.315836155692864e-05,0.2245091939742636,0.4721619926416061
27,1.9679992995236262e-05,0.2245091939742636,0.4646508546616488
28,1.9679992995236262e-05,0.2245091939742636,0.4624101261059863
29,1.7600492888902863e-05,0.2245091939742636,0.46173904289994283
30,1.8093694826859519e-06,0.2245091939742636,0.4396646758576921
31,1.8093694826859519e-06,0.2245091939742636,0.4396646758576921
32,1.8093694826859519e-06,0.2245091939742636,0.4396646758576921
33,1.8093694826859519e-06,0.2245091939742636,0.17691542696035256
34,1.8093694826859519e-06,0.1740706272901278,0.07117415715882203
35,1.8093694826859519e-06,0.05092433095061466,0.048673771406654964
36,1.8093694826859519e-06,0.05092433095061466,0.04275661385551288
37,1.8093694826859519e-06,0.05092433095061466,0.04105649732335337
38,1.8093694826859519e-06,0.05092433095061466,0.040553216741866294
39,1.7836571757356978e-06,0.05092433095061466,0.04040284050393694
40,1.72510723217556e-06,0.05092433095061466,0.04035778234798215
41,1.6864889502699043e-06,0.05092433095061466,0.04034426982561001
42,1.6752296474464856e-06,0.05092433095061466,0.0403402165120994
43,1.6752296474464856e-06,0.05092433095061466,0.04033900055793538
44,1.6715291337732197e-06,0.05092433095061466,0.040338635775277965
45,1.6715291337732197e-06,0.05092433095061466,0.040338526340800485
46,1.6706170207214655e-06,0.05092433095061466,0.0387003233216312
47,1.6706170207214655e-06,0.041107412292426204,0.0387003233216312
48,1.6706170207214655e-06,0.041107412292426204,0.0387003233216312
49,1.6706170207214655e-06,0.014709312466241187,0.03448145069024733
50,1.6706170207214655e-06,0.014709312466241187,0.03448145069024733
51,1.6706170207214655e-06,0.014709312466241187,0.03448145069024733
52,1.6706170207214655e-06,0.014709312466241187,0.03448145069024733
53,1.6706170207214655e-06,0.0006718113330421716,0.025586708829418825
54,1.6706170207214655e-06,0.0006718113330421716,0.023342713702149354
55,1.6706170207214655e-06,0.0006718113330421716,0.02276828262439423
56,1.6706170207214655e-06,0.0006718113330421716,0.02260484326649248
57,1.6706170207214655e-06,0.0006718113330421716,0.0015008843379114012
58,1.6706170207214655e-06,0.0006718113330421716,0.0007815258040508866
59,1.6706170207214655e-06,0.0006718113330421716,2.4673484034565263e-05
60,1.6706170207214655e-06,0.0006718113330421716,2.4673484034565263e-05
61,1.6706170207214655e-06,0.0006718113330421716,7.1889997173002484e-06
62,1.6706170207214655e-06,0.0006718113330421716,7.1889997173002484e-06
63,1.6706170207214655e-06,0.00012880819415528322,4.747035401209132e-06
64,1.6706170207214655e-06,0.00012880819415528322,2.1344041876147912e-06
65,1.6706170207214655e-06,0.00010002090782990081,2.130698558033828e-06
66,1.6706170207214655e-06,1.5364392780270464e-06,2.130698558033828e-06
67,1.6706170207214655e-06,1.5364392780270464e-06,2.130698558033828e-06
68,1.6706170207214655e-06,1.5364392780270464e-06,2.130698558033828e-06
69,1.6706170207214655e-06,1.5364392780270464e-06,2.091788878999523e-06
70,1.6706170207214655e-06,1.5364392780270464e-06,2.0851981084035742e-06
71,1.6706170207214655e-06,1.5364392780270464e-06,2.085136692642209e-06
72,1.6706170207214655e-06,1.5364392780270464e-06,2.085136692642209e-06
73,1.6706170207214655e-06,1.353818319671518e-07,2.085100433646403e-06
74,1.6706170207214655e-06,1.353818319671518e-07,2.085100433646403e-06
75,1.6706170207214655e-06,1.353818319671518e-07,2.0850737918465256e-06
76,1.6706170207214655e-06,1.353818319671518e-07,2.0850719657516947e-06
77,1.6706170207214655e-06,1.353818319671518e-07,2.0850719657516947e-06
78,1.6706170207214655e-06,1.353818319671518e-07,2.0850719657516947e-06
79,1.6706170171687518e-06,1.353818319671518e-07,4.772959307786095e-07
80,1.6706170171687518e-06,1.353818319671518e-07,4.772959307786095e-07
81,1.6706170171687518e-06,1.353818319671518e-07,4.772959307786095e-07
82,1.6706170171687518e-06,1.353818319671518e-07,4.772959307786095e-07
83,1.6706170171687518e-06,1.353818319671518e-07,4.772959307786095e-07
84,1.6706170171687518e-06,1.353818319671518e-07,3.107930588441832e-07
85,1.6706170171687518e-06,1.353818319671518e-07,1.29769219370246e-07
86,1.6706170171687518e-06,1.353818319671518e-07,9.226894093217197e-08
87,1.6706170171687518e-06,8.349082136760444e-08,8.253147498749058e-08
88,1.6706170171687518e-06,3.169903450839229e-08,7.974637128427275e-08
89,1.6706170171687518e-06,3.169903450839229e-08,7.892309028534328e-08
90,1.6706170171687518e-06,3.169903450839229e-08,7.867721407706085e-08
91,1.6706170171687518e-06,8.278920660131917e-09,7.860354500621725e-08
92,1.6706170171687518e-06,8.278920660131917e-09,7.858145778527614e-08
93,1.6706170171687518e-06,8.278920660131917e-09,7.85748284215515e-08
94,1.6706170171687518e-06,2.4749837734816538e-09,7.857284245460505e-08
95,1.6706170171687518e-06,2.4749837734816538e-09,7.857224559870701e-08
96,1.6706170171687518e-06,3.4719249697445775e-10,7.857206796302307e-08
97,1.6706170171687518e-06,3.4719249697445775e-10,7.857201111960421e-08
98,1.6706170171687518e-06,3.4719249697445775e-10,7.857199335603582e-08
99,1.6706170171687518e-06,3.4719249697445775e-10,7.857198980332214e-08
100,1.6706170171687518e-06,3.4719249697445775e-10,7.857198625060846e-08
