===== Final Summary =====
Algorithm,Parameters,Pass_line,Result,Generation,time(ms)
GA,MR=0.2,1e-10,9.95e-01,100,48.57
DE,"MF=0.5, CR=0.7",1e-10,7.59e-11,66,104.292
PSO,"IW=0.5, PC=2.0",1e-10,8.51e-09,100,54.7
===== Convergence History =====
Generation,GA_Cost,DE_Cost,PSO_Cost
1,1.8736207093296855,17.526211787035987,10.29087996502738
2,1.8736207093296855,2.5783122386322965,3.466003836825873
3,1.8736207093296855,2.5783122386322965,3.466003836825873
4,1.8736207093296855,2.5783122386322965,1.816738599728673
5,1.8736207093296855,2.5783122386322965,1.816738599728673
6,1.8736207093296855,2.5783122386322965,1.816738599728673
7,1.8736207093296855,2.5783122386322965,1.816738599728673
8,1.8736207093296855,2.5783122386322965,1.816738599728673
9,1.8736207093296855,2.5783122386322965,1.816738599728673
10,1.8736207093296855,1.8251320701072373,1.816738599728673
11,1.0866264931925862,1.8251320701072373,1.816738599728673
12,1.0866264931925862,1.8251320701072373,1.779372948518919
13,1.0866264931925862,1.7220161603755422,0.9871319180711957
14,1.0221099620556515,1.0291232569201192,0.3995987228013256
15,1.0025905582778307,1.0291232569201192,0.3995987228013256
16,1.0025905582778307,1.0291232569201192,0.3995987228013256
17,1.0025905582778307,0.34761167305946117,0.3995987228013256
18,0.9970464316291903,0.34761167305946117,0.3995987228013256
19,0.9970464316291903,0.34761167305946117,0.3995987228013256
20,0.9970464316291903,0.34761167305946117,0.3995987228013256
21,0.9949653194559787,0.34761167305946117,0.014986566866372897
22,0.9949653194559787,0.12562575739782744,0.014986566866372897
23,0.9949653194559787,0.06349001663775766,0.014986566866372897
24,0.9949653194559787,0.06349001663775766,0.014986566866372897
25,0.9949653194559787,0.06349001663775766,0.014986566866372897
26,0.9949653194559787,0.06349001663775766,0.014986566866372897
27,0.9949653194559787,0.06349001663775766,0.014986566866372897
28,0.9949653194559787,0.06349001663775766,0.014986566866372897
29,0.9949653194559787,0.04369628503560463,0.014986566866372897
30,0.9949653194559787,0.024661846788788466,0.014986566866372897
31,0.9949653194559787,0.004356240684920465,0.014986566866372897
32,0.9949653194559787,0.004356240684920465,0.014986566866372897
33,0.9949653194559787,5.2431977881184366e-05,0.014986566866372897
34,0.9949653194559787,5.2431977881184366e-05,0.014986566866372897
35,0.9949653194559787,5.2431977881184366e-05,0.014986566866372897
36,0.9949653194559787,1.894366227972455e-05,0.014986566866372897
37,0.9949653194559787,1.894366227972455e-05,0.014986566866372897
38,0.9949653194559787,1.894366227972455e-05,0.014986566866372897
39,0.9949653194559787,1.894366227972455e-05,0.014986566866372897
40,0.9949653194559787,1.894366227972455e-05,0.002309536508970922
41,0.9949653194559787,1.894366227972455e-05,0.002309536508970922
42,0.9949653194559787,1.894366227972455e-05,0.002309536508970922
43,0.9949653194559787,2.1752865038138225e-06,0.002309536508970922
44,0.9949653194559787,2.1752865038138225e-06,0.0003472285646033413
45,0.9949653194559787,2.1752865038138225e-06,0.0003472285646033413
46,0.9949653194559787,1.0001827455141665e-06,0.0003472285646033413
47,0.9949653194559787,6.035099637813346e-07,0.0003472285646033413
48,0.9949653194559787,6.035099637813346e-07,0.00023118829357215986
49,0.9949653194559787,6.035099637813346e-07,0.00023118829357215986
50,0.9949653194559787,6.035099637813346e-07,0.00023118829357215986
