===== Final Summary =====
Algorithm,Parameters,Pass_line,Result,Generation,time(ms)
GA,MR=0.3,1e-10,6.52e-04,100,44.75
DE,"MF=0.9, CR=1.0",1e-10,2.56e-09,100,138.224
PSO,"IW=0.3, PC=2.5",1e-10,9.95e-01,100,49.663
===== Convergence History =====
Generation,GA_Cost,DE_Cost,PSO_Cost
1,3.1227666892954957,14.489026604543369,16.20590986200773
2,3.1227666892954957,3.1614347933868174,7.950085311271263
3,3.1227666892954957,3.1614347933868174,6.717870869384065
4,3.1227666892954957,3.1614347933868174,5.809089328535951
5,3.1227666892954957,3.1614347933868174,5.809089328535951
6,3.1227666892954957,3.1614347933868174,5.809089328535951
7,3.1227666892954957,3.1614347933868174,5.752647352432518
8,3.1227666892954957,3.1614347933868174,5.752647352432518
9,3.1227666892954957,3.1614347933868174,5.752647352432518
10,3.1227666892954957,3.1614347933868174,5.042564271552759
11,2.7908177874654605,3.1614347933868174,5.042564271552759
12,2.0246479269119213,3.1614347933868174,4.126174069747329
13,2.0246479269119213,3.1614347933868174,4.126174069747329
14,2.0246479269119213,3.1614347933868174,4.126174069747329
15,2.0246479269119213,3.1614347933868174,4.126174069747329
16,2.0246479269119213,3.1614347933868174,2.77160882567026
17,2.0246479269119213,3.1614347933868174,2.77160882567026
18,2.0246479269119213,2.55564897329921,2.77160882567026
19,2.0246479269119213,2.55564897329921,2.77160882567026
20,1.6869491022308551,2.19761392308866,1.6200516381796888
21,1.6869491022308551,0.7275913980472772,1.6200516381796888
22,1.6869491022308551,0.7275913980472772,1.6200516381796888
23,1.1899138353078236,0.7275913980472772,1.6200516381796888
24,1.1899138353078236,0.7275913980472772,1.6200516381796888
25,1.1899138353078236,0.7275913980472772,1.6200516381796888
26,1.1899138353078236,0.7275913980472772,1.6200516381796888
27,1.1899138353078236,0.7275913980472772,1.6200516381796888
28,1.1899138353078236,0.6611132905101016,1.1630946760549676
29,1.1899138353078236,0.6611132905101016,1.1630946760549676
30,1.1899138353078236,0.6611132905101016,1.1630946760549676
31,1.1899138353078236,0.39878640034574175,1.1630946760549676
32,1.1899138353078236,0.39878640034574175,1.1630946760549676
33,1.1899138353078236,0.39878640034574175,1.1630946760549676
